BaseDeFallasCodigo;ModelosCodigo;BaseDeFallasFalla;BaseDeFallasSolucion;BaseDeFallasSintomas;BaseDeFallasPropia
123;3021;no prende;empece a checar los volt.de entrada en la f.pwr. en stby. estaban correctos pero al darle pwr. se cae el volt. del cap. principal (150mf a 450v.) de pwr. de 175v. a 10v. procedi a cambiar el cap.antes descrito y accione el cont. rem. y encendio normal.-La;Al conectar al c.a. prende el led frontal indicando que esta en stanby, pero al prender con el remoto solo se escuchaba un sumbido muy pequeÃ±o en la funte de power y no hace nada.;0
124;3111;no enciende;cambie el TR de Horizontal que estaba en corto y encendiÃ³ con rayas horizontales en todos los canales, cambie los filtros del vertical y siguiÃ³ igual menos en el canal 14 y 15, la R152 era de 2.7k y la que lleva segÃºn el plano es de 2.4k, la cambie y q;;0
125;3111;linea brillante al centro de la pantalla;abierto el diodo 1N4002 al lado del ci de vertical;;0
126;3114;No enciende, fusible cortado;en corto el BUT12AF en Q101 el JC547A en Q102 el 8550C en Q104 el C368 en Q105 cortadas las R121 y R122 de 3omhs 7W, la R107 de 0.33ohms 2W, la R108 33omhs 1/2 y la R119 10omhs 2w.El fuse 3,15amp y  arranco. ok;;0
127;3115;no enciende;R919 abierta ( 68 ohms 1/2 W;no tiene 12v ni 5v;0
128;3115;al subir volumen, se achica vertical;C915 (100Âµf x 160v);al subir el volumen de audio se achica al ritmo del sonido el vertical.;0
129;3117;con sonido sin imagen;cambiar resistor de 27ohms 2wats en la alimentaciÃ³n del sinto;aparenta ser problema del sinto;0
130;3122;Sin E/W;Revisar el CD07 de 0.47-250v en el pino 2 del transf. lineas,que estarÃ¡ seco.;No tiene E/W y todo estÃ¡ bien.;0
131;3140;la imagen se pierde de la pantalla, va y viene oscureciÃ©ndose y aclarÃ¡ndose;electrolÃ­tico de 10mf x 250v al lado del flyback seco, puse uno de 10mf x 350v y ok;;0
132;3164;Enciende y se apaga;"CAMBIE ELECTROLITICOS DE EAT Y VERTICAL, TAMBIÃ‰N DE FUENTE
";a veces no enciende y si lo hace se apaga al rato;0
133;3164;Vertical cerrado;"cambie c422 de 2200mf x 25v, c417 de 100mf x 160v, y ci de vertical TDA3653B OK
";"LINEA VERTICAL AL MEDIO Y ANTES DE CERRARSE SE VEIA VERDE
";0
134;3165;al encenderlo solo se oye un silbido muy fuerte;"d1555 en fuga  puse d5072 y cambie electroliticos de vertical 
arranco ok pero al cambiar de canales se colocaba solo en 
sintonia automatica, se soluciono regulando la bobina t181 ok
vuela nuevamente el tr de horizontal , cambiar el c113 de 100mf x";aparenta transistor de horizontal en corto;0
135;3165;No enciende;"SE CAMBIO EL BUT  12 AF, RESISTOR 2,2omhs 5 W Y ELECTROLITICOS DE 
4,7 X 160 Y 1 X 160 DE VERTICAL - 25 X 1000 DE AUDIO Y 47 X 160 DE EAT
";NO ENCIENDE luego de un bajon de energia electrica;0
136;3165;no enciende;falso contacto en R121 y R122 de 3.3 ohms 1 watt. cambie Q101 BUT12A x BUT12AF y electrolÃ­ticos en vertical de 10mf x 50v y de horizontal de 4.7mf x 160v;se apagaba y encendÃ­a con un golpe hasta que no encendiÃ³ mas;0
137;3166;Sin imagen;"D 410 QUEMADO DE 7,8V. PUSE DE 8,2V Y CAMBIÃ‰ SINTONIZADOR 
";"NO TIENE IMAGEN (solo lluvia) (despues de conexiÃ³n de DVD)

";0
138;3206;No sintoniza canales;Se le monto el TECC1880PA08A;"Al prender el televisor este enciende bien pero con el efecto de estatica(nieve)o ruido blanco.
al tratar de buscar los canales este no sintoniza ninguno.
Se procedio a medir los diferentes voltales que le llegan al sintonizador ,El Resultado: todos l";0
139;3232;No Enciende;Al verificar fuente y horizontal, nos encontramos con el diodo D1649 en corto, se procedio al cambio del mismo y el tv funciono correctamente - servi.tec;Al enchufar solo prende el led de estamby, pero no enciende, al desconectar se escucha un chipsss de descarga en la fuente;0
140;3298;enciende y queda en AV;cambie la memoria eeprom 24lc04b previamente grabada;"al encenderlo queda clavado en AV(audio y video).Y no responde al teclado ni al
control remoto";0
141;3357;Incoerencia de funcionamiento;Se determino que el Micro estaba mal divido a que la resistencia entre sus patas de alimenticios era demasiado baja haciendo caer la tensiÃ³n de alimentaciÃ³n y calentando mucho el regulador a 5V, aunque la tensiÃ³n en la Eeprom era correcta 5v, Se rempla;Entro con un fondo de color rojizo como exceso de color rojo, despues, total Incoherencia de los mando frontales, no ejecutaba los mandos del Control remoto, se apagaba en pocos minutos, termino daÃ±ando el STR F6656 y otro componentes de la fuente, solo;0
142;3399;TV no funciona;cambiar el t.lineas: orega 30017.00 pensando que estaba averiado por uno equivalente:HR7543 no estava averiado, la averia era el transistor de potencia: 2sd1649 sustituido por 2sd1651;El televisor no funciona,no arranca, al encender se oye un pequeÃ±o sonido parecido al de rizado en el transformador de lineas.;0
143;3404;TV  MUERTO;"Cambiar transistor,pero ANTES de encender
el tv compruebe la R555 en la salida B1 (130v)de la fuente,porque se estÃ¡ muerta Ã³ alterada,el transistor de mat vuelve a quemar en el instante de encender el tv.";Tv muerto,transistor mat en corto.;0
144;3529;Se apaga la television despues de un tiempo;Se procedio a revizar la fuente y al tiempo se localizo un capacitor de oscilacion que se encuentra en serie a la bobina Feed-Back con un calentimiento poco normal. Por ello se  sospecho de este componente, se realizo el cambio y quedo resuelta la falla.;Despues de dos horas las teevsion se apaga, como si se sobre calentara.;0
145;3530;flay back daÃ±ado;despues de investigar mucho encontre que tanto para el flay L40B08300 y L40A00711 de sanyo EL HR 8319.es compatible y es muy barato.nota ni en las casas de venta especializadas en flays tienen al HR 8319 como remplazo y no se porque. saludos;no enciende solo chillidos de flayback con fuga este televisor usa el flay L40B08300 aqui en mexico esta descontinuado y si lo encuentras es muy caro o te lo venden al precio que quieren.;0
146;3531;no enciende;"Se volviÃ³ a checar fuente y sus voltajes estÃ¡n bien no asÃ­ C428=1microfar/160V y C474=47microfar/160V los cuales se reemplazaron al igual que el D1879 y la tv estuvo trabajando todo el dÃ­a sin ningun problema de temperaturas.
Importante reemplazar c";"solo se escucha \""clik\"". Q402=D1879 de salida horizontal daÃ±ado, al reemplazarlo y probar encendido relay de fuente vibra;  se reemplazÃ³ C022=470microfar./25v.
Encendio tv y voltaje de +B=130V correcto pero al cabo de 20 minutos se apago. VolviÃ³ a d";0
147;3556;NO FUNCIONA EL CONTROL REMOTO;no lo se;El control remoto, que trajo la Television se me extravio, y he comprado varios controles (universales, y otros), pero ninguno funciona.;0
148;3586;volumen al maximo y no se puede controlar;solucion cambiar flyback y eprom;del panel no se puede controlar y tampoco del control remoto, todas las funciones del menu estan correctas y las tenciones de fuente estan correctas pero el problema esta en la perdida de alta del flyback, que no es continua si por momentos cambiar el fly;0
149;3588;fuera de foco;yo, ya pase por esto una ves, habia cambiado el zocalo, los filtros resistencias, capasitores, y flaybak, pero no seguia igual. hata que cambie el tubo, y andava bien!!! como la plaqueta es generica yo diria que en esta marca primero prueben la plaqueta c;no respomde el foco ni el G2,NI,G1,;0
150;3598;lo predo y se apaga a la ves;problemas en la fuente del aparato revise bien el relet y me di cuenta que estaba defectuoso lo cambie y me funciono el relet es de 12v y 6 patas;al presionar el boton de encendido suena el relet y se apaga inmediatamente;0
151;3605;no prende;el str estaba en corto y la salida horizontal estaba en corto y la resistencia desmanestisadora estaba  daÃ±ada cambie eso y prendio;no presentaba voltaje en +B y media en corto el filtro principal;0
152;3642;No enciende;Se cambio el transistor de salida horizontal (D2499),asi como el regulador de voltaje (STR30110), tambien el fusible (F801) de 4 A.;El televisor no enciende;0
153;6486;se ve verde;integrado d colores.c3229;pantalla completamente tode verde;0
154;6527;Comprimido en la parte inferior de la pantalla;se encontro el filtro en C357 fuera de su valor, se procedio al cambio del mismo y el tv funciono correctamente;El tv presenta una raya negra desde la parte inferior de la pantalla hacia el medio del trc;0
155;6662;fuera de sincronia vertical y horizontal;cambiar la memoria 24c02,la cual debe estar grabada,no se le puede poner memoria virgen,no regrabar la misma memoria porque vuelven a fallar;el televisor al encenderlo se oye bien pero esta fuera de sincronia tanto vertical como horizontal,en este modelo es muy comun;0
156;6704;Perturbacion de iamagen en la parte superior de la pantalla;La falla es el condensador C559 de 25voltios para 220 microfaradis;"Cuanto este se predende(Enciende), se observa en la pantallan ;en la parte superior (de izquierda a derecha)  ,problemas de sincronismo horizontal reducido(5 centimetros) .";0
157;6712;SE APAGA REPENTINAMENTE;CHEQUE EL FLY BACK PERO NO PARECE ESTAR EN MALAS CONDICIONES,TAMBIEN LOS PUNTOS EN EL CRT,VERTICAL FUNCIONA CORRETAMENTE RESISTENCIAS ASOCIADAS AL FLYBACK;EL TELEVISOR ENCIENDE NORMAL, PERO DESPUES DE CIERTO TIEMPO SE APAGA REPENTINAMENTE SE VE, EN LA PANTALLA COMO UN ALARGAMIENTO DE IMAGEN YSE APAGA Y QUIERO VOLVER A ENCENDERLA Y NO RESPONDE, HASTA QUE DESCONECTO LA ALIMENTACION ACC,Y VUELVO A INTENTAR Y E;0
158;6713;NO FUNCIONA TECLADO;REVISAR EL D055 SU VOLTAJE SI MARCA MENOS DE 1.6VOLTS EN SU CATODO, CAMBIARLO ESTE DIODO ZENER PRESENTA FUGAS FRECUENTEMENTE Y ES LA LINEA DE AF-KEY 2, SU VALOR ES DE 3 VOLTS;AL CONECTAR EL TV SE ENCIENDE SOLO Y NO RESPONDE EL TECLADO ,NO SE PUEDE APAGAR NI REALIZAR NINGUNA FUNCION;0
159;6714;video retardado;Se verifico el ic.803(str58041)y se hallaron correctos sus voltajes de salida asi como de entrada,nada anormal,el cliente al preguntar por su tv. hizo la observacion de que el tv. funcionaba mas de 16 hrs al dia,al saber esto mas el tiempo de compra del a;el tv.enciende normalmente parece audio y el video aparece pero desfasado en horizontal(con lineas horizontales)y aparece normalmente con color a los 4 o 5 minutos de haber sido encendido y mientras este encendida no falla.mientras aparece la imagen no pu;0
160;6715;no enciende , suena un pitillo;"se reviso la fuente el regulador stk 73907 cruzado
el optoacoplador y el diodo 803 cruzado se cambio estos tres dispositivos lo encendi y prendio normal";al conectar a la red se escucha un pitillo y no enciende;0
161;7256;no prende;revise la salida de audio el tranformador su secundario se abrio.medi la salida de fuente 6voltios,saque la salida y subia a 140volt es normal. el flyback lo rebobinaron al reves.;imagen oscura,sonido en bajo volumen.es blanco y negro.usa triodo pentodo.falta una resistencia en paralelo con el filtro de fuente.el parlante se conecta la trafo;0
162;7280;al pulsarla tecla power se escucha como un globo que se desinfla en el parlante;el capacitor cp38 de 1000 x 25 v de filtrado del mas b23 v que se lo ubica conectado entre el cattodo del diodo dp21 y masa esta desbalorizado o abierto;al pulsar la tecla power se escucha un ruido como si fuese como un blobo sesinflandose en el parlante;0
163;7311;imagen con efecto de cojÃ­n;reemplazar el diodo CR402 = NTE580 que marcaba continuidad en ambas polaridades.;sÃ³lo se puede ajustar el vertical pero los potenciÃ³metros R4805 y R4802 que son los del Pincushion no ejecutan ningÃºn cambio.;0
164;7547;No prende ni el led;Cambiar D1555 horizontal puede tener el D1878;No prende;0
165;3813;Se encendÃ­a pantalla pero no sintonizaba ningÃºn canal de TV.;"Se revisÃ³ la fuente y se encontrÃ³ C104 de 100 uf/6,3 v seco. Se puso uno nuevo y se ajustÃ³ la salida principal de tensiÃ³n de la fuente a 4v.
DespuÃ©s todo quedÃ³ OK.";El TV iniciaba e proceso de sintonizaciÃ³n de emisoras de TV, se encendÃ­a la pantalla y aparecÃ­a la line avertical de bÃºsqueda pero no llegaba a sintonizar.Se midieron tensiones de la fuente y estaban mal. La principal de 4 v, daba 2 v. y el resto no e;0
166;3833;No enciende;"Resistencias R406(SMD) valor 820 ohmios y R824 de 3.3 ohmios 1/4 wattio
el Diodo Zener 4.7 voltios (ZD401)";"Televisor con tecnologia SMD(Desechable)
Se procedio a revisar la fuente conmutada y el transistor de salida horizontal(TSH).El regulador de voltaje es un mosfet cuyo numero es P6NK90ZFP y el
TSH es BU1508DX .medicion ok Estados de los componentes = b";0
167;3906;No enciende y produce un chillido;"Cambiar el transistor de salida horizontal y controlar las tensiones de la fuente(hay un preset)
";Al enchufarlo, quiere encender pero produce un chillido(ruido en una bobina), aparenta ser el FLY back.;0
168;3917;No arranca circuito de horizontal;Revisar el pulso de seÃ±al proveniente del croma, si esta bien debe marcar una frecuencia alta en el osciloscopio, si esta bien, revisar transistor driver o preamplificador que no este en corto, si esta bien,, reemplazar la bobina de oscilacion, si su med;El televisor arranca la fuente, pero no oscila el driver de horizontal, todos los voltajes llegan pero no trabaja;0
169;3929;Enciende y se apaga;"CAMBIE C 815 (4,7 X 160V) Y OK
";"Enciende y SE APAGA AL RATO


";0
170;3929;No enciende;"DESCONECTE DESDE EL PANEL LAS DEMAS 
TECLAS Y ENCENDIO. CAMBIE TODOS LOS 
SWICHT Y OK
";"NO ENCIENDE
SE CAMBIO SWICHT DE PANEL FRONTAL (power)y siguio igual

";0
171;3936;Enciende y se apaga;CAMBIE C 815 (4,7 X 160V) Y OK;"ENCIENDE Y SE APAGA AL RATO
";0
172;3977;No enciende;"REEMPLAZAR STR 50103, RESISTOR
FUSE DE 3,9 ohms, DIODO 1N5381
 (atrÃ¡s de entrada antena plastico) resultado OK";"FUSE QUEMADO, 
";0
173;3979;No enciende. Tabletea fuente de alimentaciÃ³n;Cambiar diodo que rectifica la tensiÃ³n de +b horiz. Colocar un diodo rapido de 3 Amp. En lo posible con disipador. Aparentemente es una falla comun en este modelo;Cortocircuito en la salida de tensiÃ³n de la fuente de alimentaciÃ³n. Alimentacion del +b Horizontal;0
174;4004;enciende con sonido e imagen normal al rato de funcionar comienza a desengnacharse la imagen y se va de sintonia;colocar un capacitor de 0,47x50v entre la pata 21 del sircuito integrado ic102 tda4505 y masa para estabilizar la sintonia y los sincronismos;enciende con sonido e imagen normal al rato de funcionar comienza a desengancharse la imagen y se va de sintonia;0
175;4014;NO FUNCIONA;diodo D811 en corto.;desvinculando el horizontalno arranca la fuente.;0
176;4031;OSD corrido;"OSD= SE CORRIGIO CAMBIANDO EL PRESET DE 5K DEL MISMO - 
RUIDO= SE CORRIGIO 
LIMPIANDO EL CHUPETE -
 PANTALLEO=
se corrigio cambiando el flyback que estaba roto detrÃ¡s 
del nucleo de ferriteâ€¦ ok
";"OSD CORRIDO Y BORROSO, RUIDO A CHISPAS 
Y PANTALLEO BLANCO (luminoso)

";0
